"Name","Year","Rating","Runtime","Genre","Number_of_Votes"
"Kaze no tani no Naushika",1984,"8.1",117,"Animation, Adventure, Sci-Fi            ",164041
"Nostalgia",1983,"8.1",125,"Drama            ",26090
"The Thing",1982,"8.1",109,"Horror, Mystery, Sci-Fi            ",403057
"Fitzcarraldo",1982,"8.1",158,"Adventure, Drama            ",34021
"Fanny och Alexander",1982,"8.1",188,"Drama            ",62531
"Blade Runner",1982,"8.1",117,"Action, Drama, Sci-Fi            ",738841
"The Elephant Man",1980,"8.1",124,"Biography, Drama            ",234320
"Stalker",1979,"8.1",162,"Drama, Sci-Fi            ",129590
"Life of Brian",1979,"8.1",94,"Comedy            ",388372
"The Deer Hunter",1978,"8.1",183,"Drama, War            ",329951
"Rocky",1976,"8.1",120,"Drama, Sport            ",551795
"Network",1976,"8.1",121,"Drama            ",154854
"Barry Lyndon",1975,"8.1",185,"Adventure, Drama, History            ",161792
"Zerkalo",1975,"8.1",107,"Biography, Drama            ",44653
"Paper Moon",1973,"8.1",102,"Comedy, Crime, Drama            ",46032
"Viskningar och rop",1972,"8.1",91,"Drama            ",33094
"Le samouraï",1967,"8.1",105,"Crime, Drama            ",49642
"Cool Hand Luke",1967,"8.1",127,"Crime, Drama            ",172761
"Persona",1966,"8.1",85,"Drama, Thriller            ",113668
"Andrei Rublev",1966,"8.1",205,"Biography, Drama, History            ",52204
"La battaglia di Algeri",1966,"8.1",121,"Drama, War            ",58177
"El ángel exterminador",1962,"8.1",95,"Drama, Fantasy            ",32386
"What Ever Happened to Baby Jane?",1962,"8.1",134,"Drama, Horror, Thriller            ",54147
"Sanjuro",1962,"8.1",96,"Action, Drama, Thriller            ",37280
"The Man Who Shot Liberty Valance",1962,"8.1",123,"Drama, Western            ",73938
"Ivanovo detstvo",1962,"8.1",95,"Drama, War            ",35196
"Jungfrukällan",1960,"8.1",89,"Drama            ",28544
"Inherit the Wind",1960,"8.1",128,"Biography, Drama, History            ",29507
"Les quatre cents coups",1959,"8.1",99,"Crime, Drama            ",113944
"Ben-Hur",1959,"8.1",212,"Adventure, Drama, History            ",232409
"Kakushi-toride no san-akunin",1958,"8.1",139,"Action, Adventure, Drama            ",37983
"Le notti di Cabiria",1957,"8.1",110,"Drama            ",47485
"Kumonosu-jô",1957,"8.1",110,"Drama, History            ",50779
"The Bridge on the River Kwai",1957,"8.1",161,"Adventure, Drama, War            ",214745
"Du rififi chez les hommes",1955,"8.1",118,"Crime, Drama, Thriller            ",33282
"On the Waterfront",1954,"8.1",108,"Crime, Drama, Thriller            ",150976
"Les diaboliques",1955,"8.1",117,"Crime, Drama, Horror            ",64738
"Le salaire de la peur",1953,"8.1",131,"Adventure, Drama, Thriller            ",59300
"Ace in the Hole",1951,"8.1",111,"Drama, Film-Noir            ",34806
"White Heat",1949,"8.1",114,"Action, Crime, Drama            ",32059
"The Third Man",1949,"8.1",104,"Film-Noir, Mystery, Thriller            ",167872
"The Red Shoes",1948,"8.1",135,"Drama, Music, Romance            ",33844
"Roma città aperta",1945,"8.1",103,"Drama, Thriller, War            ",25688
"The Best Years of Our Lives",1946,"8.1",170,"Drama, Romance, War            ",61988
"The Shop Around the Corner",1940,"8.1",99,"Comedy, Drama, Romance            ",31995
"Rebecca",1940,"8.1",130,"Drama, Film-Noir, Mystery            ",133445
"The Grapes of Wrath",1940,"8.1",129,"Drama            ",90340
"Mr. Smith Goes to Washington",1939,"8.1",129,"Comedy, Drama            ",113236
"Gone with the Wind",1939,"8.1",238,"Drama, History, Romance            ",306570
"La Grande Illusion",1937,"8.1",113,"Drama, War            ",35850
"It Happened One Night",1934,"8.1",105,"Comedy, Romance            ",100820
"All Quiet on the Western Front",1930,"8.1",152,"Drama, War            ",60209
"La passion de Jeanne d'Arc",1928,"8.1",110,"Biography, Drama, History            ",52664
"The Circus",1928,"8.1",72,"Comedy, Family, Romance            ",32895
"Sunrise: A Song of Two Humans",1927,"8.1",94,"Drama, Romance            ",50210
"The General",1926,"8.1",67,"Action, Adventure, Comedy            ",88617
"Das Cabinet des Dr. Caligari",1920,"8.1",76,"Horror, Mystery, Thriller            ",61711
"Badhaai ho",2018,"8.0",124,"Comedy, Drama            ",32410
"Super 30",2019,"8.0",154,"Biography, Drama            ",28567
"WolfWalkers",2020,"8.0",103,"Animation, Adventure, Family            ",28675
